3060,4102,-1130
3421,3899,-1291
3766,3676,-1476
4082,3439,-1675
4359,3178,-1823
4557,2918,-1871
4723,2639,-1902
4861,2350,-1923
4953,2071,-1925
5002,1826,-1916
5024,1622,-1893
5020,1419,-1830
4990,1224,-1716
4924,1062,-1565
4847,955,-1383
4804,873,-1310
4774,732,-1283
4692,533,-1149
4619,548,-949
4535,589,-722
4413,467,-488
4321,365,-329
4221,141,-240
3993,-251,-42
3697,-663,191
3442,-1017,309
3070,-1442,463
2611,-1869,636
2116,-2255,816
1585,-2609,981
1084,-2900,1089
567,-3157,1110
-116,-3423,1211
-756,-3602,1318
-1309,-3707,1389
-2001,-3788,1515
-2895,-3799,1747
-3860,-3702,2000
-4314,-3591,2044
-4479,-3517,1981
-4800,-3381,1954
-5127,-3226,1962
-5450,-3039,1978
-5718,-2830,1953
-5945,-2608,1903
-6213,-2338,1918
-6452,-2075,1961
-6653,-1808,1990
-6808,-1555,2021
-6919,-1330,2042
-7023,-1122,2087
-7164,-908,2210
-7329,-658,2392
-7490,-378,2596
-7611,-114,2779
-7736,146,3007
-7844,386,3251
-7963,606,3552
-8088,822,3902
-8144,1066,4179
-8093,1346,4311
-7991,1608,4379
-7879,1798,4357
-7831,1857,4330
-7815,1878,4325
-7809,1880,4315
-7779,1885,4237
-7714,1903,4118
-7645,1938,4028
-7595,1976,3974
-7577,2002,3966
-7566,2007,3959
-7575,1998,3965
-7569,2004,3962
-7572,2001,3962
-7593,1974,3969
-7594,1976,3968
-7585,1985,3965
-7577,1994,3965
-7562,2014,3959
-7558,2020,3958
-7561,2016,3961
-7619,1950,3984
-7685,1866,4007
-7743,1790,4028
-7781,1737,4044
-7784,1734,4047
-7785,1731,4045
-7781,1733,4043
-7787,1726,4044
-7796,1718,4052
-7827,1668,4064
-7865,1611,4081
-7894,1571,4091
-7878,1592,4086
-7876,1595,4083
-7866,1614,4082
-7861,1620,4078
-7862,1618,4078
-7862,1618,4079
-7854,1626,4077
-7850,1635,4074
-7850,1633,4077
-7852,1632,4075
-7852,1631,4076
